ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,ActiveDurationSec,LevenshteinDist,TotalKeystrokes,WPM,ActiveWPM,MeanWordWPM,CER,KSPC,BackspaceCount
WE01,Proposed,L,1,374,he watched in astonishment,he watchede wa watched in astonishment,26,38,96.289,85.31800000000001,12,67,4.611118611679423,5.204060104550036,6.890680429986187,0.46153846153846156,1.763157894736842,15
WE01,Proposed,L,2,127,earth quakes are predictable,earth quakes za are predictable,28,31,54.459,46.816,3,33,6.610477607007105,7.6896787423103214,6.9045029098980155,0.10714285714285714,1.064516129032258,1
WE01,Proposed,L,3,188,what a lovely red jacket,what a lovely red jacket,24,24,47.934,39.705,0,47,5.757917136062085,6.951265583679637,5.325249484002277,0.0,1.9583333333333333,1
WE01,Proposed,L,4,261,obligations must be met first,obligations must te be met first,29,32,52.558,42.754,3,44,7.077894897066098,8.700940262899378,5.970829802235091,0.10344827586206896,1.375,1
WE01,Proposed,L,5,381,careless driving results in a fine,careless driving result in results ln in a fine,34,47,97.118,84.42800000000001,13,82,5.683807327169011,6.538115317193347,5.221584459926201,0.38235294117647056,1.7446808510638299,14
WE01,Proposed,L,6,295,very reluctant to enter,very very reluctant to enter,23,28,69.803,62.806,5,76,4.641634313711446,5.158742795274337,5.135404401894222,0.21739130434782608,2.7142857142857144,22
WE01,Proposed,L,7,303,the aspirations of a nation,the aspiration aspirations of a nation,27,38,64.405,59.69,11,65,6.893874699169319,7.438431898140392,8.307120957454112,0.4074074074074074,1.7105263157894737,12
WE01,Proposed,L,8,101,the back yard of our house,the back yard of our ion house,26,30,51.518,42.726,4,52,6.754920610272137,8.144923465805364,5.785429299138621,0.15384615384615385,1.7333333333333334,8
WE01,Proposed,L,9,200,on the way to the cottage,on the way to the cottage,25,25,45.283,38.372,0,42,6.360002650001103,7.505472740539977,6.766202248969169,0.0,1.68,8
WE01,Proposed,L,10,444,with each step forward,wing with each step forward,22,27,46.928,41.815,5,47,6.648482782134335,7.461437283271554,6.80025217017783,0.22727272727272727,1.7407407407407407,10
WE01,Proposed,L,11,15,circumstances are unacceptable,circumstansw circumstances circumstances are unacceptable,30,57,141.129,122.625,27,71,4.761601088365963,5.48012232415902,5.677808575454151,0.9,1.2456140350877194,7
WE01,Proposed,L,12,140,the sun rises in the east,the si sun rises in the east,25,28,34.794,27.740999999999996,3,41,9.311950336264875,11.679463609819404,9.588187967057612,0.12,1.4642857142857142,4
WE01,Proposed,L,13,467,a rattle snake is very poisonous,a rattle snake is very poisnous poisonous,32,41,64.657,55.02799999999999,9,59,7.423790154198308,8.722832012793488,9.688998516170969,0.28125,1.4390243902439024,6
WE01,Proposed,L,14,464,find a nearby parking spot,find a nearby parking spot,26,26,31.161,26.851999999999997,0,33,9.62741888899586,11.17235215253985,9.094954186100287,0.0,1.2692307692307692,0
WE01,Proposed,L,15,191,the largest of the five oceans,the largest or of the five l oceans,30,35,45.772,38.897,5,54,8.913746395176089,10.489240815487056,8.267302783462764,0.16666666666666666,1.542857142857143,7
WE01,Proposed,L,16,82,what you see is what you get,what you see in is is what you get,28,34,41.828,30.952,6,53,9.467342450033469,12.794003618506073,8.39325868685717,0.21428571428571427,1.5588235294117647,6
WE01,Proposed,L,17,34,do not say anything,do not a anything say anything,19,30,35.677,26.389999999999997,11,40,9.754183367435603,13.186813186813188,9.01916346711151,0.5789473684210527,1.3333333333333333,3
WE01,Proposed,L,18,399,shivering is one way to keep warm,shivering is one way to keep warm,33,33,38.782,30.729,0,36,9.90150069619927,12.496338963194377,9.603532389259115,0.0,1.0909090909090908,1
WE01,Proposed,L,19,417,completely sold out of that,completely sold out of that,27,27,36.203,31.827999999999996,0,38,8.618070325663618,9.80268945582506,8.960193350024008,0.0,1.4074074074074074,4
WE01,Proposed,L,20,450,what goes up must come down,what goes up must come down,27,27,58.148,50.117000000000004,0,62,5.3656187659076835,6.225432487978131,7.760264586250805,0.0,2.2962962962962963,11
