ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,LevenshteinDist,TotalKeystrokes,WPM,CER,KSPC,BackspaceCount
debug-MT10,Controller,R,1,386,important for political parties,important for political parties,31,31,37.961668,0,47,9.48325031450146,0.0,1.5161290322580645,7
debug-MT10,Controller,R,2,239,you will loose your voice,m non non you will loose your voice,25,35,66.030148,10,78,6.17899569148323,0.4,2.2285714285714286,27
debug-MT10,Controller,R,3,443,an excellent way to communicate,m an excellent way to communicate,31,33,55.321018,2,82,6.941303936236315,0.06451612903225806,2.484848484848485,28
debug-MT10,Controller,R,4,168,I skimmed through your proposal,i skinned skimmed through your proposal,31,39,71.849842,8,57,6.346569279860073,0.25806451612903225,1.4615384615384615,8
debug-MT10,Controller,R,5,365,just like it says on the can good,just like if it says on the can good,33,36,45.560369,3,50,9.218538155386756,0.09090909090909091,1.3888888888888888,1
