ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,ActiveDurationSec,LevenshteinDist,TotalKeystrokes,WPM,ActiveWPM,MeanWordWPM,CER,KSPC,BackspaceCount
debug-MT10,Proposed,R,1,443,an excellent way to communicate,an excellent way to communicate,31,31,77.841,67.87,0,72,4.624812117007747,5.30425814056284,4.14036718341135,0.0,2.3225806451612905,19
debug-MT10,Proposed,R,2,494,everybody looses in custody battles,everybody oo everybody looses i in i in distle custody battles,35,62,72.962,59.73400000000001,27,93,10.03261971985417,12.254327518666084,10.876296607749122,0.7714285714285715,1.5,20
debug-MT10,Proposed,R,3,3,breathing is difficult,breathing is difficukt dirt citri difficult,22,43,49.412,44.546,21,77,10.19995142880272,11.31414717370808,11.361674001970103,0.9545454545454546,1.7906976744186047,18
debug-MT10,Proposed,R,4,199,where did I leave my glasses,where die did i leave my glasses,28,32,43.874,32.195,4,100,8.478825728221725,11.554589221928872,9.474911481353141,0.14285714285714285,3.125,10
debug-MT10,Proposed,R,5,325,the fax machine is broken,the fax machine is relish broken,25,32,46.291,41.585,7,64,8.036119332051587,8.945533245160513,10.217440088804802,0.28,2.0,10
