ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,LevenshteinDist,TotalKeystrokes,WPM,CER,KSPC,BackspaceCount
debug-CS10,Proposed,R,1,370,the most beautiful sunset,the most the most recced the most beautiful sunset,25,50,149.191866,25,214,3.941233632670028,1.0,4.28,46
debug-CS10,Proposed,R,2,290,sharp cheese keeps the mind sharp,sharp cheese keeps l mind sharp the mind sharp,33,46,89.464538,13,194,6.035911122684163,0.3939393939393939,4.217391304347826,10
debug-CS10,Proposed,R,3,138,limited warranty of two years,limited warranty of two years,29,29,48.591308,0,118,6.914816946273601,0.0,4.068965517241379,3
debug-CS10,Proposed,R,4,308,pay off a mortgage for a house,pay off a mortgage for a house,30,30,42.130032,0,93,8.260140889520331,0.0,3.1,0
debug-CS10,Proposed,R,5,111,world population is growing,world population is growing,27,27,58.996138,0,114,5.288481764687716,0.0,4.222222222222222,12
