ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,DurationSec,WPM,CER,KSPC,BackspaceCount
debug-HW04,Proposed,R,1,272,I will put on my glasses,i will put on my glasses,13.89842,19.85837239053072,0.041666666666666664,1.2916666666666667,0
debug-HW04,Proposed,R,2,440,the elevator door appears to be stuck,the elevator door appears to be stuck,21.03177,20.54035395023814,0.0,1.2432432432432432,2
debug-HW04,Proposed,R,3,377,saving that child was an heroic effort,saving that child was an heroic effort,20.224318,21.95376872535331,0.0,1.6578947368421053,1
debug-HW04,Proposed,R,4,470,the biggest hamburger I have ever seen,the biggest hamburger i have ever seen,15.563443,28.528391821783913,0.02631578947368421,1.0789473684210527,1
debug-HW04,Proposed,R,5,217,effort is what it will take,effort is what it will take,9.67382,32.251995592227274,0.0,1.1851851851851851,0
