ParticipantID,Condition,Handedness,TrialID,TargetPhrase,InputPhrase,DurationSec,WPM,CER,KSPC,BackspaceCount
debug-HW04,Controller,R,1,he cooled off after she left,left,19.362275,2.479047529280521,0.8571428571428571,7.25,0
debug-HW04,Controller,R,2,he cooled off after she left,education,33.820972,3.193284923922352,0.8571428571428571,5.444444444444445,2
debug-HW04,Controller,R,3,good jobs for those with education,losers,16.525484,4.356907186500559,0.8823529411764706,4.833333333333333,0
debug-HW04,Controller,R,4,there are winners and losers,warm,17.493809,2.743827830748581,0.8928571428571429,9.0,1
debug-HW04,Controller,R,5,shivering is one way to keep warm,cards,36.637266,1.6376767851618625,0.9393939393939394,9.6,2
