ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,LevenshteinDist,TotalKeystrokes,WPM,CER,KSPC,BackspaceCount
debug-MY05,Controller,R,1,414,the cream rises to the top,the cream rises to the top,26,26,45.826797,0,41,6.546388131817286,0.0,1.5769230769230769,4
debug-MY05,Controller,R,2,124,travel at the speed of light,travel at the speed or or of light,28,34,25.422748,6,41,15.576600924494867,0.21428571428571427,1.2058823529411764,3
debug-MY05,Controller,R,3,480,only an idiot would lie in court,only zu an idiot would lie only an idiot would lie in court,32,59,91.913773,27,124,7.572314543109877,0.84375,2.1016949152542375,35
debug-MY05,Controller,R,4,490,the first time he tried to swim,the first time he tried to swim,31,31,28.523177,0,42,12.62131493977687,0.0,1.3548387096774193,3
debug-MY05,Controller,R,5,19,we run the risk of failure,we run the risk or of failure,26,29,27.704192,3,40,12.128128479617814,0.11538461538461539,1.3793103448275863,3
