ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,LevenshteinDist,TotalKeystrokes,WPM,CER,KSPC,BackspaceCount
debug-HY07,Keyboard,R,1,305,a security force of eight thousand,a security force of eight thousand,34,34,29.049194,0,73,13.632047760085873,0.0,2.1470588235294117,12
debug-HY07,Keyboard,R,2,253,a glance in the right direction,a glance in right the in the right right direction,31,50,60.465895,19,91,9.72449014440289,0.6129032258064516,1.82,18
debug-HY07,Keyboard,R,3,85,the store will close at ten,the store will close at ten,27,27,12.198118,0,34,25.577716169002468,0.0,1.2592592592592593,3
debug-HY07,Keyboard,R,4,290,sharp cheese keeps the mind sharp,sharp cheese keeps the nine sharp the nine mind sharp,33,53,30.92611,20,80,20.177125412798443,0.6060606060606061,1.509433962264151,13
debug-HY07,Keyboard,R,5,30,beware the ides of March,beware the ides or of match march,24,33,21.409706,9,52,17.935790430751364,0.375,1.5757575757575757,4
