Timestamp,ParticipantID,Condition,TrialNum,TargetGesture,TargetID,ReactionTime,TotalTime
2025-12-28T13:19:28.983835,p01,Proposed,1,Victory,4,3.008,3.508
2025-12-28T13:19:34.886782,p01,Proposed,2,Neutral,0,1.700,2.200
2025-12-28T13:19:40.489926,p01,Proposed,3,Victory,4,1.611,2.111
2025-12-28T13:19:46.804002,p01,Proposed,4,ThumbsUp,7,2.259,2.759
2025-12-28T13:19:51.750330,p01,Proposed,5,Fist,1,0.876,1.376
2025-12-28T13:19:58.584031,p01,Proposed,6,RockNRoll,5,2.610,3.110
2025-12-28T13:20:03.273327,p01,Proposed,7,Fist,1,0.889,1.389
2025-12-28T13:20:08.388372,p01,Proposed,8,Gun,6,1.012,1.512
2025-12-28T13:20:14.379676,p01,Proposed,9,Gun,6,1.993,2.493
2025-12-28T13:20:19.264002,p01,Proposed,10,Victory,4,0.873,1.373
