Timestamp,ParticipantID,Condition,TrialNum,TargetGesture,TargetID,ReactionTime,TotalTime
2025-12-28T12:01:22.097629,p01,Proposed,1,RockNRoll,5,7.481,7.981
2025-12-28T12:01:29.993658,p01,Proposed,2,RockNRoll,5,1.902,2.402
2025-12-28T12:01:35.980404,p01,Proposed,3,Fist,1,1.289,1.789
2025-12-28T12:01:43.281913,p01,Proposed,4,RockNRoll,5,2.594,3.094
2025-12-28T12:01:50.594855,p01,Proposed,5,RockNRoll,5,3.301,3.801
2025-12-28T12:01:56.415230,p01,Proposed,6,Victory,4,1.701,2.201
2025-12-28T12:02:01.796491,p01,Proposed,7,RockNRoll,5,1.411,1.911
2025-12-28T12:02:07.385251,p01,Proposed,8,ThumbsUp,7,1.389,1.889
2025-12-28T12:02:13.384809,p01,Proposed,9,Neutral,0,1.991,2.491
2025-12-28T12:02:19.193359,p01,Proposed,10,Fist,1,1.067,1.567
