Timestamp,ParticipantID,Condition,TrialNum,TargetGesture,TargetID,ReactionTime,TotalTime
2025-12-28T13:22:32.163665,p01,Proposed,1,Fist,1,0.978,1.478
2025-12-28T13:22:38.421024,p01,Proposed,2,ThumbsUp,7,2.402,2.902
2025-12-28T13:22:47.034285,p01,Proposed,3,ThumbsUp,7,4.706,5.206
2025-12-28T13:22:52.833054,p01,Proposed,4,Fist,1,1.404,1.904
2025-12-28T13:22:58.165731,p01,Proposed,5,Fist,1,1.056,1.556
2025-12-28T13:23:03.400476,p01,Proposed,6,RockNRoll,5,1.060,1.560
2025-12-28T13:23:13.230554,p01,Proposed,7,Victory,4,4.803,5.303
2025-12-28T13:23:19.231023,p01,Proposed,8,Neutral,0,1.791,2.291
2025-12-28T13:23:29.154026,p01,Proposed,9,ThumbsUp,7,5.421,5.921
2025-12-28T13:23:34.276184,p01,Proposed,10,RockNRoll,5,0.969,1.469
