Timestamp,ParticipantID,Condition,TrialNum,TargetGesture,TargetID,ReactionTime,TotalTime
2025-12-29T07:00:49.523059,p01,Controller,1,Gun,6,1.340,1.840
2025-12-29T07:00:55.317740,p01,Controller,2,Neutral,0,1.004,1.504
2025-12-29T07:01:00.215928,p01,Controller,3,Victory,4,0.696,1.196
2025-12-29T07:01:05.315573,p01,Controller,4,Neutral,0,1.003,1.503
2025-12-29T07:01:10.720177,p01,Controller,5,Fist,1,1.112,1.612
2025-12-29T07:01:15.737099,p01,Controller,6,RockNRoll,5,0.924,1.424
2025-12-29T07:01:20.779162,p01,Controller,7,FingerPoint,3,0.879,1.379
2025-12-29T07:01:26.013374,p01,Controller,8,ThumbsUp,7,0.912,1.412
2025-12-29T07:01:30.712834,p01,Controller,9,RockNRoll,5,0.697,1.197
2025-12-29T07:01:35.809862,p01,Controller,10,ThumbsUp,7,0.909,1.409
