Timestamp,ParticipantID,Condition,Handedness,TrialID,TargetPhrase,InputPhrase,CompletionTime,CharCount,WPM,ErrorDist,BackspaceCount
2026-01-05T17:34:19.010288,AM04,Proposed,R,1,my watch fell in the water,my watch fell in the water,14.884,26,20.96,0,0
2026-01-05T17:34:38.944326,AM04,Proposed,R,2,prevailing wind from the east,prevailing wind from the east,18.075,29,19.25,0,0
2026-01-05T17:35:23.099928,AM04,Proposed,R,3,never too rich and never too thin,never too rich and never too thin,42.306,33,9.36,0,0
2026-01-05T17:35:38.768512,AM04,Proposed,R,4,breathing is difficult,breathing is difficult,13.662,22,19.32,0,0
2026-01-05T17:35:56.777371,AM04,Proposed,R,5,I can see the rings on Saturn,i can see the rings on saturn,15.994,29,21.76,2,0
2026-01-05T17:36:24.619524,AM04,Proposed,R,6,physics and chemistry are hard,physics and chemistry are hard,25.922,30,13.89,0,0
2026-01-05T17:36:57.903614,AM04,Proposed,R,7,my bank account is overdrawn,my bank account is overdrawn,31.429,28,10.69,0,0
2026-01-05T17:37:13.361066,AM04,Proposed,R,8,elections bring out the best,elections bring out the best,13.611,28,24.69,0,0
2026-01-05T17:37:27.425106,AM04,Proposed,R,9,we are having spaghetti,we are having spaghetti,12.207,23,22.61,0,0
2026-01-05T17:37:54.825615,AM04,Proposed,R,10,time to go shopping,time to go shopping,25.543,19,8.93,0,0
2026-01-05T17:38:07.860445,AM04,Proposed,R,11,a problem with the engine,a problem with the engine,11.161,25,26.88,0,0
2026-01-05T17:38:25.914465,AM04,Proposed,R,12,elephants are afraid of mice,elephants are afraid of mice,16.188,28,20.76,0,0
2026-01-05T17:38:48.807557,AM04,Proposed,R,13,my favorite place to visit,my favorite place to visit,21.036,26,14.83,0,0
2026-01-05T17:39:04.262708,AM04,Proposed,R,14,three two one zero blast off,three two one zero blast off,13.593,28,24.72,0,0
2026-01-05T17:39:45.293622,AM04,Proposed,R,15,my favorite subject is psychology,my favorite subject is psychology,39.166,33,10.11,0,0
2026-01-05T17:40:10.416802,AM04,Proposed,R,16,circumstances are unacceptable,circumstances are unacceptable,23.276,30,15.47,0,0
2026-01-05T17:40:55.912301,AM04,Proposed,R,17,watch out for low flying objects,watch out for low flying objects,43.482,32,8.83,0,0
2026-01-05T17:41:14.685305,AM04,Proposed,R,18,if at first you do not succeed,if at first you do not succeed,16.746,30,21.50,0,0
2026-01-05T17:41:40.833759,AM04,Proposed,R,19,please provide your date of birth,please provide your date of birth,24.295,33,16.30,0,0
2026-01-05T17:42:02.472264,AM04,Proposed,R,20,we run the risk of failure,we run the risk of failure,19.616,26,15.91,0,0
