Timestamp,ParticipantID,Condition,Handedness,TrialID,TargetPhrase,InputPhrase,CompletionTime,CharCount,WPM,ErrorDist,BackspaceCount
2026-01-05T19:14:25.565538,HY07,Controller,R,1,my watch fell in the water,my watch fell in the water,37.466,26,8.33,0,0
2026-01-05T19:15:00.354440,HY07,Controller,R,2,prevailing wind from the east,prevailing wind from the east,32.856,29,10.59,0,0
2026-01-05T19:15:39.186713,HY07,Controller,R,3,never too rich and never too thin,never too rich and never too thin,450.085,33,0.88,0,0
2026-01-05T19:16:03.205655,HY07,Controller,R,4,breathing is difficult,breathing is difficult,22.160,22,11.91,0,0
2026-01-05T19:16:37.878568,HY07,Controller,R,5,I can see the rings on Saturn,i can see the rings on saturn,32.811,29,10.61,2,0
2026-01-05T19:17:08.083087,HY07,Controller,R,6,physics and chemistry are hard,physics and chemistry are hard,25.630,30,14.05,0,0
2026-01-05T19:17:46.419344,HY07,Controller,R,7,my bank account is overdrawn,my bank account is overdrawn,36.467,28,9.21,0,0
2026-01-05T19:18:25.373780,HY07,Controller,R,8,elections bring out the best,elections bring out the best,36.915,28,9.10,0,0
2026-01-05T19:18:50.809646,HY07,Controller,R,9,we are having spaghetti,we are having spaghetti,23.389,23,11.80,0,0
2026-01-05T19:19:10.507291,HY07,Controller,R,10,time to go shopping,time to go shopping,17.643,19,12.92,0,0
2026-01-05T19:19:35.048231,HY07,Controller,R,11,a problem with the engine,a problem with the engine,22.665,25,13.24,0,0
2026-01-05T19:20:00.969133,HY07,Controller,R,12,elephants are afraid of mice,elephants are afraid of mice,23.870,28,14.08,0,0
2026-01-05T19:20:27.795693,HY07,Controller,R,13,my favorite place to visit,my favorite place to visit,24.960,26,12.50,0,0
2026-01-05T19:21:16.095745,HY07,Controller,R,14,three two one zero blast off,three two one zero blast off,46.448,28,7.23,0,0
2026-01-05T19:21:46.075721,HY07,Controller,R,15,my favorite subject is psychology,my favorite subject is psychology,28.113,33,14.09,0,0
2026-01-05T19:22:15.299078,HY07,Controller,R,16,circumstances are unacceptable,circumstances are unacceptable,27.347,30,13.16,0,0
2026-01-05T19:22:45.427644,HY07,Controller,R,17,watch out for low flying objects,watch out for low flying objects,28.100,32,13.67,0,0
2026-01-05T19:23:22.479349,HY07,Controller,R,18,if at first you do not succeed,if at first you do not succeed,35.091,30,10.26,0,0
2026-01-05T19:24:00.559182,HY07,Controller,R,19,please provide your date of birth,please provide your date of birth,36.229,33,10.93,0,0
2026-01-05T19:24:38.786143,HY07,Controller,R,20,we run the risk of failure,we run the risk of failure,35.476,26,8.79,0,0
