Timestamp,ParticipantID,Condition,Handedness,TrialID,TargetPhrase,InputPhrase,CompletionTime,CharCount,WPM,ErrorDist,BackspaceCount
2026-01-04T14:13:41.157279,AM04,Keyboard,R,1,my watch fell in the water,my watch fell in the water,19.713,26,15.83,0,0
2026-01-04T14:14:06.616321,AM04,Keyboard,R,2,prevailing wind from the east,prevailing wind from the east,23.600,29,14.75,0,0
2026-01-04T14:14:25.409198,AM04,Keyboard,R,3,never too rich and never too thin,never too rich and never too thin,16.938,33,23.38,0,0
2026-01-04T14:14:41.627979,AM04,Keyboard,R,4,breathing is difficult,breathing is difficult,14.363,22,18.38,0,0
2026-01-04T14:15:06.537067,AM04,Keyboard,R,5,I can see the rings on Saturn,i can see the rings on saturn,23.049,29,15.10,2,0
2026-01-04T14:15:52.850339,AM04,Keyboard,R,6,physics and chemistry are hard,physics and chemistry are hard,44.447,30,8.10,0,0
2026-01-04T14:16:22.032634,AM04,Keyboard,R,7,my bank account is overdrawn,my bank account is overdrawn,27.153,28,12.37,0,0
2026-01-04T14:16:51.942662,AM04,Keyboard,R,8,elections bring out the best,elections bring out the best,27.894,28,12.05,0,0
2026-01-04T14:17:16.289272,AM04,Keyboard,R,9,we are having spaghetti,we are having spaghetti,22.324,23,12.36,0,0
2026-01-04T14:17:29.413736,AM04,Keyboard,R,10,time to go shopping,time to go shopping,11.103,19,20.53,0,0
2026-01-04T14:17:40.446672,AM04,Keyboard,R,11,a problem with the engine,a problem with the engine,9.005,25,33.31,0,0
2026-01-04T14:18:02.601178,AM04,Keyboard,R,12,elephants are afraid of mice,elephants are afraid of mice,20.297,28,16.55,0,0
2026-01-04T14:18:25.848794,AM04,Keyboard,R,13,my favorite place to visit,my favorite place to visit,21.396,26,14.58,0,0
2026-01-04T14:18:39.454175,AM04,Keyboard,R,14,three two one zero blast off,three two one zero blast off,11.728,28,28.65,0,0
2026-01-04T14:18:58.766876,AM04,Keyboard,R,15,my favorite subject is psychology,my favorite subject is psychology,17.451,33,22.69,0,0
2026-01-04T14:19:32.117351,AM04,Keyboard,R,16,circumstances are unacceptable,circumstances are unacceptable,31.494,30,11.43,0,0
2026-01-04T14:19:49.620053,AM04,Keyboard,R,17,watch out for low flying objects,watch out for low flying objects,15.650,32,24.54,0,0
2026-01-04T14:20:13.495630,AM04,Keyboard,R,18,if at first you do not succeed,if at first you do not succeed,22.015,30,16.35,0,0
2026-01-04T14:21:26.616444,AM04,Keyboard,R,19,please provide your date of birth,please provide your date of birth,71.096,33,5.57,0,0
2026-01-04T14:21:43.980267,AM04,Keyboard,R,20,we run the risk of failure,we run the risk of failure,15.506,26,20.12,0,0
