Timestamp,ParticipantID,Condition,Handedness,TrialID,TargetPhrase,InputPhrase,CompletionTime,CharCount,WPM,ErrorDist,BackspaceCount
2026-01-05T17:07:10.580697,AM04,Controller,R,1,my watch fell in the water,my watch fell in the water,31.116,26,10.03,0,0
2026-01-05T17:07:58.108749,AM04,Controller,R,2,prevailing wind from the east,prevailing wind from the east,45.538,29,7.64,0,0
2026-01-05T17:08:39.922967,AM04,Controller,R,3,never too rich and never too thin,never too rich and never too thin,39.781,33,9.95,0,0
2026-01-05T17:09:21.399984,AM04,Controller,R,4,breathing is difficult,breathing is difficult,39.623,22,6.66,0,0
2026-01-05T17:10:05.921306,AM04,Controller,R,5,I can see the rings on Saturn,i can see the rings on saturn,42.654,29,8.16,2,0
2026-01-05T17:10:45.470455,AM04,Controller,R,6,physics and chemistry are hard,physics and chemistry are hard,37.691,30,9.55,0,0
2026-01-05T17:11:57.416849,AM04,Controller,R,7,my bank account is overdrawn,my bank account is overdrawn,70.084,28,4.79,0,0
2026-01-05T17:12:58.929454,AM04,Controller,R,8,elections bring out the best,elections bring out the best,59.477,28,5.65,0,0
2026-01-05T17:13:38.560555,AM04,Controller,R,9,we are having spaghetti,we are having spaghetti,37.588,23,7.34,0,0
2026-01-05T17:14:01.151928,AM04,Controller,R,10,time to go shopping,time to go shopping,20.737,19,10.99,0,0
2026-01-05T17:14:30.897281,AM04,Controller,R,11,a problem with the engine,a problem with the engine,27.872,25,10.76,0,0
2026-01-05T17:15:07.813556,AM04,Controller,R,12,elephants are afraid of mice,elephants are afraid of mice,35.049,28,9.59,0,0
2026-01-05T17:15:37.319310,AM04,Controller,R,13,my favorite place to visit,my favorite place to visit,27.659,26,11.28,0,0
2026-01-05T17:16:29.202064,AM04,Controller,R,14,three two one zero blast off,three two one zero blast off,50.016,28,6.72,0,0
2026-01-05T17:17:25.659331,AM04,Controller,R,15,my favorite subject is psychology,my favorite subject is psychology,54.418,33,7.28,0,0
2026-01-05T17:18:11.040718,AM04,Controller,R,16,circumstances are unacceptable,circumstances are unacceptable,43.522,30,8.27,0,0
2026-01-05T17:18:44.151137,AM04,Controller,R,17,watch out for low flying objects,watch out for low flying objects,31.070,32,12.36,0,0
2026-01-05T17:19:27.129876,AM04,Controller,R,18,if at first you do not succeed,if at first you do not succeed,41.129,30,8.75,0,0
2026-01-05T17:20:03.768078,AM04,Controller,R,19,please provide your date of birth,please provide your date of birth,34.779,33,11.39,0,0
2026-01-05T17:21:08.292644,AM04,Controller,R,20,we run the risk of failure,we run the risk of failure,62.656,26,4.98,0,0
