Timestamp,ParticipantID,Condition,Handedness,TrialID,TargetPhrase,InputPhrase,CompletionTime,CharCount,WPM,ErrorDist,BackspaceCount
2026-01-05T18:47:07.646830,HY07,Proposed,R,1,my watch fell in the water,my watch fell in the water,71.004,26,4.39,0,0
2026-01-05T18:47:50.189440,HY07,Proposed,R,2,prevailing wind from the east,prevailing wind from the east,40.525,29,8.59,0,0
2026-01-05T18:48:32.356461,HY07,Proposed,R,3,never too rich and never too thin,never too rich and never too thin,40.320,33,9.82,0,0
2026-01-05T18:48:55.288851,HY07,Proposed,R,4,breathing is difficult,breathing is difficult,21.063,22,12.53,0,0
2026-01-05T18:49:33.257739,HY07,Proposed,R,5,I can see the rings on Saturn,i can see the rings on saturn,36.097,29,9.64,2,0
2026-01-05T18:43:27.823719,HY07,Proposed,R,6,physics and chemistry are hard,physics and chemistry are hard,-367.288,30,0.00,0,0
2026-01-05T18:51:27.243029,HY07,Proposed,R,7,my bank account is overdrawn,my bank account is overdrawn,63.228,28,5.31,0,0
2026-01-05T18:54:28.551015,HY07,Proposed,R,8,elections bring out the best,elections bring out the best,179.286,28,1.87,0,0
2026-01-05T18:54:56.599929,HY07,Proposed,R,9,we are having spaghetti,we are having spaghetti,26.179,23,10.54,0,0
2026-01-05T18:55:14.450393,HY07,Proposed,R,10,time to go shopping,time to go shopping,15.981,19,14.27,0,0
2026-01-05T18:55:47.991115,HY07,Proposed,R,11,a problem with the engine,a problem with the engine,31.494,25,9.53,0,0
2026-01-05T18:56:16.643978,HY07,Proposed,R,12,elephants are afraid of mice,elephants are afraid of mice,26.628,28,12.62,0,0
2026-01-05T18:56:41.103663,HY07,Proposed,R,13,my favorite place to visit,my favorite place to visit,22.415,26,13.92,0,0
2026-01-05T18:57:01.304791,HY07,Proposed,R,14,three two one zero blast off,three two one zero blast off,18.155,28,18.51,0,0
2026-01-05T18:57:45.002141,HY07,Proposed,R,15,my favorite subject is psychology,my favorite subject is psychology,41.848,33,9.46,0,0
2026-01-05T18:58:48.364736,HY07,Proposed,R,16,circumstances are unacceptable,circumstances are unacceptable,61.506,30,5.85,0,0
2026-01-05T18:59:58.550649,HY07,Proposed,R,17,watch out for low flying objects,watch out for low flying objects,68.169,32,5.63,0,0
2026-01-05T19:00:58.452107,HY07,Proposed,R,18,if at first you do not succeed,if at first you do not succeed,57.883,30,6.22,0,0
2026-01-05T19:01:36.619484,HY07,Proposed,R,19,please provide your date of birth,please provide your date of birth,36.140,33,10.96,0,0
2026-01-05T19:02:36.881278,HY07,Proposed,R,20,we run the risk of failure,we run the risk of failure,58.415,26,5.34,0,0
