Timestamp,ParticipantID,Condition,TrialNum,TargetGesture,TargetID,ReactionTime,TotalTime
2025-12-29T08:11:17.990125,p01,Proposed,1,Neutral,0,65.293,65.793
2025-12-29T08:15:45.206853,p01,Proposed,2,Gun,6,261.212,261.712
2025-12-29T08:15:49.689668,p01,Proposed,3,Victory,4,0.890,1.390
2025-12-29T08:15:54.503494,p01,Proposed,4,ThumbsUp,7,0.896,1.396
2025-12-29T08:16:00.677176,p01,Proposed,5,FingerPoint,3,1.966,2.466
2025-12-29T08:16:30.777744,p01,Proposed,6,Fist,1,26.297,26.797
2025-12-29T08:16:36.084597,p01,Proposed,7,ThumbsUp,7,1.049,1.549
2025-12-29T08:16:41.803956,p01,Proposed,8,RockNRoll,5,1.549,2.049
2025-12-29T08:16:47.508597,p01,Proposed,9,RockNRoll,5,1.298,1.798
2025-12-29T08:16:53.008728,p01,Proposed,10,Fist,1,1.113,1.613
