ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,ActiveDurationSec,LevenshteinDist,TotalKeystrokes,WPM,ActiveWPM,MeanWordWPM,CER,KSPC,BackspaceCount
debug-SS05,Controller,R,1,202,do not drink the water,do not drink the water,22,22,56.226,40.068999999999996,0,36,4.481912282573899,6.2891512141555825,6.035435407261553,0.0,1.6363636363636365,4
debug-SS05,Controller,R,2,121,the postal service is very slow,the postal service is very slow,31,31,34.512,26.907,0,56,10.43115438108484,13.379417995317203,8.963794229735274,0.0,1.8064516129032258,0
debug-SS05,Controller,R,3,109,this is too much to handle,this is vol too much to handle,26,30,30.9,23.353,4,54,11.262135922330096,14.90172568834839,9.347406084166126,0.15384615384615385,1.8,1
debug-SS05,Controller,R,4,380,every Saturday he folds the laundry,every saturday he folds the laundry,35,35,33.735,26.143,0,44,12.094264117385503,15.606472095780896,10.433264940090497,0.0,1.2571428571428571,1
debug-SS05,Controller,R,5,414,the cream rises to the top,the cream rises to the top,26,26,23.041,17.704,0,33,13.020268217525281,16.94532309082693,11.817628655008432,0.0,1.2692307692307692,1
