ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,LevenshteinDist,TotalKeystrokes,WPM,CER,KSPC,BackspaceCount
MK08,Controller,L,1,334,that is a very odd question,that is a very odd question,27,27,20.907319,0,36,14.923003757679309,0.0,1.3333333333333333,0
MK08,Controller,L,2,86,head shoulders knees and toes,head shoulders knees and toes,29,29,24.456245,0,40,13.738822129071735,0.0,1.3793103448275863,0
MK08,Controller,L,3,132,a fox is a very smart animal,a box a fox is a very smart animal,28,34,35.633473,6,55,11.113146338556446,0.21428571428571427,1.6176470588235294,4
MK08,Controller,L,4,294,historic meeting without a result,historic meeting without a result,33,33,19.122933,0,34,20.080601652476638,0.0,1.0303030303030303,0
MK08,Controller,L,5,217,effort is what it will take,effort is what it will take,27,27,26.017388,0,36,11.991980132671273,0.0,1.3333333333333333,2
MK08,Controller,L,6,109,this is too much to handle,that this is too much to handle,26,31,34.654684,5,66,10.388206108011257,0.19230769230769232,2.129032258064516,11
MK08,Controller,L,7,363,give me one spoonful of coffee,give me one spoonful of coffee,30,30,21.485207,0,39,16.19719093234708,0.0,1.3,0
MK08,Controller,L,8,319,interactions between men and women,interactions between men and women interactions between men and women,34,69,58.71202,35,97,13.89834653960126,1.0294117647058822,1.4057971014492754,17
MK08,Controller,L,9,491,that referendum asked a silly question,that referendum asked a silly question,38,38,41.452486,0,46,10.711058439293605,0.0,1.2105263157894737,3
MK08,Controller,L,10,17,if at first you do not succeed,if at first you do not succeed,30,30,21.428275,0,35,16.24022465644108,0.0,1.1666666666666667,1
MK08,Controller,L,11,181,my dog sheds his hair,mm my dog sheds his car hair,21,28,24.279486,7,49,13.3445988106997,0.3333333333333333,1.75,12
MK08,Controller,L,12,312,the assault took six months,the assault took six months,27,27,19.592825,0,39,15.92419674038838,0.0,1.4444444444444444,4
MK08,Controller,L,13,7,elections bring out the best,elections bring out the best,28,28,15.761238,0,33,20.55676083312745,0.0,1.1785714285714286,0
MK08,Controller,L,14,123,the capital of our nation,the capital of our nation,25,25,20.027803,0,30,14.380009629613392,0.0,1.2,0
MK08,Controller,L,15,147,see you later alligator,see your you later alligator,23,28,20.665565,5,41,15.678255106985945,0.21739130434782608,1.4642857142857142,5
MK08,Controller,L,16,218,where can my little dog be,where can my little dog be,26,26,21.72986,0,43,13.805887382615444,0.0,1.6538461538461537,0
MK08,Controller,L,17,185,the dog will bite you,the dog will bite you,21,21,19.995408,0,43,12.002755832739195,0.0,2.0476190476190474,1
MK08,Controller,L,18,186,a most ridiculous thing,a most ridiculous thing,23,23,27.269232,0,41,9.681240747814241,0.0,1.7826086956521738,7
MK08,Controller,L,19,87,vanilla flavored ice cream,vanilla flavored ice cream,26,26,15.183761,0,29,19.757950615792755,0.0,1.1153846153846154,0
MK08,Controller,L,20,313,get your priorities in order,get your priorities in order,28,28,21.917943,0,33,14.782409097423058,0.0,1.1785714285714286,0
